"id","operacion","concepto","capital","interes","almacenaje","int_mor","alm_mor","penalizacion","comision","iva","usuario","fecha","hora","contrato","prenda","referencia","tipo","red"
19,"INICIO DE CAJA","INICIO DE CAJA",0,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-26","11:26:03",0,"0","ENRIQUE.K","CARGO",0
20,"DOTACION DE CAJA","dotacion de caja julio",3694,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-26","11:27:30",0,"0","ENRIQUE.K","CARGO",0
21,"DESEMPEÑO","DESEMPEÑO",300,4.4,4.136,0,0,0,0,1.36576,"ENRIQUE.K","2013-01-26","11:32:36",25007,"0","130126113236ENR","CARGO",0
22,"NUEVO","NUEVO CONTRATO",600,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-26","11:57:01",25411,"0","25411","ABONO",0
23,"NUEVO","NUEVO CONTRATO",360,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-26","12:03:41",25412,"0","25412","ABONO",0
24,"NUEVO","NUEVO CONTRATO",1500,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-28","10:08:48",25425,"0","25425","ABONO",0
25,"REFRENDO","REFRENDO",0,7.2,7.2,2,2,1.84,0,3.2384,"ENRIQUE.K","2013-01-28","10:15:22",24574,"0","130128101522ENR","CARGO",0
26,"NUEVO","NUEVO CONTRATO",200,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-28","10:24:53",25428,"0","25428","ABONO",0
27,"DOTACION DE CAJA","dotacion de caja julio",4000,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-28","10:28:08",0,"0","ENRIQUE.K","CARGO",0
28,"DESEMPEÑO","DESEMPEÑO",500,2.5,1.31,0,0,0,0,0.6096,"ENRIQUE.K","2013-01-28","10:05:52",25183,"0","130128100552ENR","CARGO",0
29,"DESEMPEÑO","DESEMPEÑO",1500,57.5,30.13,0,0,0,0,14.0208,"ENRIQUE.K","2013-01-28","10:20:32",24533,"0","130128102032ENR","CARGO",0
30,"REFRENDO","REFRENDO",0,13.3333333333333,12.5,2,1.875,2.97083333333334,0,5.22866666666666,"ENRIQUE.K","2013-01-28","10:40:40",24605,"0","130128104040ENR","CARGO",0
31,"REFRENDO","REFRENDO",0,15.3333333333333,14.375,0,0,0,0,4.75333333333333,"ENRIQUE.K","2013-01-28","10:41:54",24604,"0","130128104154ENR","CARGO",0
32,"NUEVO","NUEVO CONTRATO",200,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-28","10:10:25",25437,"0","25437","ABONO",0
33,"REFRENDO","REFRENDO",0,3.73333333333333,3.50933333333333,0,0,0,0,1.15882666666667,"ENRIQUE.K","2013-01-28","10:14:54",25211,"0","130128101454ENR","CARGO",0
34,"NUEVO","NUEVO CONTRATO",300,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-28","10:26:21",25439,"0","25439","ABONO",0
35,"NUEVO","NUEVO CONTRATO",500,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-28","10:42:53",25441,"0","25441","ABONO",0
36,"REFRENDO","REFRENDO",0,5.95,3.1178,1.13333333333333,0.593866666666667,1.0795,0,1.89992,"ENRIQUE.K","2013-01-28","10:54:20",24360,"0","130128105420ENR","CARGO",0
37,"INICIO DE CAJA","INICIO DE CAJA",651,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-30","09:32:03",0,"0","ENRIQUE.K","CARGO",0
38,"REFRENDO","REFRENDO",0,4.66666666666667,4.38666666666667,0.666666666666667,0.626666666666666,1.03466666666667,0,1.82101333333333,"ENRIQUE.K","2013-01-30","09:50:21",25038,"0","130130095021ENR","CARGO",0
39,"GASTO EN EFECTIVO","traspaso caja julio",450,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-30","10:02:24",0,"0","ENRIQUE.K","ABONO",0
40,"REFRENDO","REFRENDO",0,13.8666666666667,13.0346666666667,0.533333333333333,0.501333333333333,2.7936,0,4.916736,"ENRIQUE.K","2013-01-30","11:08:49",24263,"0","130130110849ENR","CARGO",0
41,"DESEMPEÑO","DESEMPEÑO",500,8,7.52,0,0,0,0,2.4832,"ENRIQUE.K","2013-01-30","11:24:16",25146,"0","130130112416ENR","CARGO",0
42,"REIMPRESION","REIMPRESION",15,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-30","11:46:25",24873,"0","24873","CARGO",0
43,"REFRENDO","REFRENDO",0,22.6666666666667,21.3066666666667,2.66666666666667,2.50666666666667,4.91466666666667,0,8.64981333333333,"ENRIQUE.K","2013-01-30","11:46:45",24873,"0","130130114645ENR","CARGO",0
44,"REFRENDO","REFRENDO",0,28,26.25,2.66666666666667,2.5,5.94166666666667,0,10.4573333333333,"ENRIQUE.K","2013-01-30","11:50:25",24646,"0","130130115025ENR","CARGO",0
45,"REFRENDO","REFRENDO",0,22.5,11.79,0,0,0,0,5.4864,"ENRIQUE.K","2013-01-30","11:18:26",24373,"0","130130111826ENR","CARGO",0
46,"REFRENDO","REFRENDO",0,16,8.384,0,0,0,0,3.90144,"ENRIQUE.K","2013-01-30","11:19:16",24374,"0","130130111826ENR","CARGO",0
47,"REFRENDO","REFRENDO",0,21.6666666666667,11.3533333333333,0,0,0,0,5.2832,"ENRIQUE.K","2013-01-30","11:53:36",24513,"0","130130115336ENR","CARGO",0
48,"NUEVO","NUEVO CONTRATO",900,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-30","11:25:15",25509,"0","25509","ABONO",0
49,"REFRENDO","REFRENDO",0,4.66666666666667,4.38666666666667,0,0,0,0,1.44853333333333,"ENRIQUE.K","2013-01-30","11:30:09",25311,"0","130130113009ENR","CARGO",0
50,"REIMPRESION","REIMPRESION",15,0,0,0,0,0,0,0,"ENRIQUE.K","2013-01-30","11:33:28",23760,"0","23760","CARGO",0
